品目階層,品目コード,品目,製造品出荷額等区分階層,製造品出荷額等区分コード,製造品出荷額等区分,産出事業所数,製造品出荷額等（その他収入を除く）（万円）
2,656600,製造工程からでたくず・廃物,1,3,くず・廃物出荷額,73,35530
1,160000,化学工業,0,0,総数,453,34166648
1,160000,化学工業,1,1,製造品出荷額,413,33583377
1,160000,化学工業,1,2,加工賃収入額,39,x
1,160000,化学工業,1,3,くず・廃物出荷額,1,x
2,161111,合成・回収硫酸アンモニウム,1,1,製造品出荷額,-,-
2,161112,アンモニア、アンモニア水（ＮＨ3　１００％換算）,1,1,製造品出荷額,-,-
2,161113,硝酸（９８％換算）,1,1,製造品出荷額,-,-
2,161114,硝酸アンモニウム,1,1,製造品出荷額,-,-
2,161115,尿素,1,1,製造品出荷額,-,-
2,161119,その他のアンモニウム系肥料,1,1,製造品出荷額,-,-
2,161121,石灰窒素,1,1,製造品出荷額,-,-
2,161122,過りん酸石灰,1,1,製造品出荷額,-,-
2,161123,熔成りん肥,1,1,製造品出荷額,-,-
2,161129,その他のりん酸質肥料,1,1,製造品出荷額,-,-
2,161211,化成肥料,1,1,製造品出荷額,1,x
2,161212,配合肥料,1,1,製造品出荷額,-,-
2,161291,複合肥料（賃加工）,1,2,加工賃収入額,-,-
2,161919,その他の化学肥料,1,1,製造品出荷額,-,-
2,161991,その他の化学肥料（賃加工）,1,2,加工賃収入額,-,-
2,162111,か性ソーダ（液体９７％換算・固形有姿）,1,1,製造品出荷額,-,-
2,162112,ソーダ灰,1,1,製造品出荷額,-,-
2,162113,液体塩素,1,1,製造品出荷額,-,-
2,162114,塩酸（３５％換算）,1,1,製造品出荷額,1,x
2,162115,塩素酸ナトリウム,1,1,製造品出荷額,-,-
2,162116,次亜塩素酸ナトリウム,1,1,製造品出荷額,1,x
2,162119,その他のソーダ工業製品,1,1,製造品出荷額,-,-
2,162211,亜鉛華,1,1,製造品出荷額,-,-
2,162212,酸化チタン,1,1,製造品出荷額,-,-
2,162213,酸化第二鉄（べんがら）,1,1,製造品出荷額,-,-
2,162214,カーボンブラック,1,1,製造品出荷額,-,-
2,162219,その他の無機顔料,1,1,製造品出荷額,3,73586
2,162291,無機顔料（賃加工）,1,2,加工賃収入額,1,x
2,162311,酸素ガス（液化酸素を含む）,1,1,製造品出荷額,4,63330
2,162312,水素ガス,1,1,製造品出荷額,-,-
2,162313,溶解アセチレン,1,1,製造品出荷額,-,-
2,162314,炭酸ガス,1,1,製造品出荷額,3,72548
2,162315,窒素,1,1,製造品出荷額,2,x
2,162319,その他の圧縮ガス・液化ガス,1,1,製造品出荷額,3,81521
2,162321,購入した圧縮ガス・液化ガスの精製,1,1,製造品出荷額,1,x
2,162391,圧縮ガス・液化ガス（賃加工）,1,2,加工賃収入額,-,-
2,162411,塩,1,1,製造品出荷額,1,x
2,162412,食卓塩（精製塩を含む）,1,1,製造品出荷額,2,x
2,162413,かん水、にがり,1,1,製造品出荷額,3,15593
2,162491,塩（賃加工）,1,2,加工賃収入額,-,-
2,162911,カルシウムカーバイド,1,1,製造品出荷額,-,-
2,162912,りん酸,1,1,製造品出荷額,1,x
2,162921,硫酸（１００％換算）,1,1,製造品出荷額,-,-
2,162922,硫酸アルミニウム,1,1,製造品出荷額,1,x
2,162923,カリウム塩類,1,1,製造品出荷額,-,-
2,162924,硝酸銀,1,1,製造品出荷額,-,-
2,162925,過酸化水素,1,1,製造品出荷額,-,-
2,162926,けい酸ナトリウム,1,1,製造品出荷額,1,x
2,162927,りん酸ナトリウム,1,1,製造品出荷額,1,x
2,162928,活性炭,1,1,製造品出荷額,-,-
2,162931,バリウム塩類,1,1,製造品出荷額,1,x
2,162932,触媒,1,1,製造品出荷額,-,-
2,162933,塩化第二鉄,1,1,製造品出荷額,-,-
2,162934,ふっ化水素酸,1,1,製造品出荷額,1,x
2,162935,炭酸カルシウム,1,1,製造品出荷額,-,-
2,162949,他に分類されない無機化学工業製品,1,1,製造品出荷額,12,955685
2,162991,その他の無機化学工業製品（賃加工）,1,2,加工賃収入額,1,x
2,163111,エチレン,1,1,製造品出荷額,-,-
2,163112,プロピレン,1,1,製造品出荷額,-,-
2,163113,ブタン、ブチレン（ナフサ分解によるもの）,1,1,製造品出荷額,-,-
2,163114,純ベンゾール（石油系）,1,1,製造品出荷額,-,-
2,163115,純トルオール（石油系）,1,1,製造品出荷額,-,-
2,163116,純キシロール（石油系）,1,1,製造品出荷額,-,-
2,163117,芳香族混合溶剤,1,1,製造品出荷額,-,-
2,163211,合成ブタノール,1,1,製造品出荷額,-,-
2,163212,合成オクタノール,1,1,製造品出荷額,-,-
2,163213,合成アセトン,1,1,製造品出荷額,-,-
2,163214,酢酸（合成酢酸を含む）,1,1,製造品出荷額,-,-
2,163215,酸化エチレン,1,1,製造品出荷額,-,-
2,163216,エチレングリコール,1,1,製造品出荷額,-,-
2,163217,酸化プロピレン,1,1,製造品出荷額,-,-
2,163218,プロピレングリコール,1,1,製造品出荷額,-,-
2,163221,ポリプロピレングリコール,1,1,製造品出荷額,-,-
2,163222,トリクロルエチレン,1,1,製造品出荷額,-,-
2,163223,二塩化エチレン,1,1,製造品出荷額,-,-
2,163224,塩化ビニルモノマー,1,1,製造品出荷額,-,-
2,163225,アクリロニトリル,1,1,製造品出荷額,-,-
2,163226,酢酸ビニルモノマー,1,1,製造品出荷額,-,-
2,163227,メラミン,1,1,製造品出荷額,-,-
2,163228,ブタジエン,1,1,製造品出荷額,-,-
2,163231,無水酢酸,1,1,製造品出荷額,-,-
2,163239,その他の脂肪族系中間物,1,1,製造品出荷額,-,-
2,163311,エチルアルコール（９５％換算）,1,1,製造品出荷額,-,-
2,163319,その他の発酵製品,1,1,製造品出荷額,-,-
2,163411,テレフタル酸、ジメチルテレフタレート,1,1,製造品出荷額,-,-
2,163412,スチレンモノマー,1,1,製造品出荷額,-,-
2,163413,トルイレンジイソシアネート（Ｔ．Ｄ．Ｉ）,1,1,製造品出荷額,-,-
2,163414,カプロラクタム,1,1,製造品出荷額,-,-
2,163415,シクロヘキサン,1,1,製造品出荷額,-,-
2,163416,合成石炭酸,1,1,製造品出荷額,-,-
2,163417,アニリン,1,1,製造品出荷額,-,-
2,163418,無水フタル酸,1,1,製造品出荷額,-,-
2,163421,ジフェニルメタンジイソシアネート（Ｍ．Ｄ．Ｉ）,1,1,製造品出荷額,-,-
2,163429,その他の環式中間物,1,1,製造品出荷額,3,41675
2,163431,直接染料,1,1,製造品出荷額,2,x
2,163432,分散性染料,1,1,製造品出荷額,-,-
2,163439,その他の合成染料,1,1,製造品出荷額,3,160564
2,163441,ピグメントレジンカラー,1,1,製造品出荷額,-,-
2,163442,レーキ,1,1,製造品出荷額,1,x
2,163491,環式中間物・合成染料・有機顔料（賃加工）,1,2,加工賃収入額,1,x
2,163511,フェノール樹脂,1,1,製造品出荷額,-,-
2,163512,ユリア樹脂,1,1,製造品出荷額,-,-
2,163513,メラミン樹脂,1,1,製造品出荷額,-,-
2,163514,不飽和ポリエステル樹脂,1,1,製造品出荷額,-,-
2,163515,アルキド樹脂,1,1,製造品出荷額,-,-
2,163516,ポリエチレン,1,1,製造品出荷額,-,-
2,163517,ポリスチレン,1,1,製造品出荷額,1,x
2,163518,ポリプロピレン,1,1,製造品出荷額,-,-
2,163521,塩化ビニル樹脂,1,1,製造品出荷額,2,x
2,163522,メタクリル樹脂,1,1,製造品出荷額,-,-
2,163523,ポリビニルアルコール,1,1,製造品出荷額,-,-
2,163524,ポリアミド系樹脂,1,1,製造品出荷額,-,-
2,163525,ふっ素樹脂,1,1,製造品出荷額,1,x
2,163526,ポリエチレンテレフタレート,1,1,製造品出荷額,-,-
2,163527,エポキシ樹脂,1,1,製造品出荷額,-,-
2,163528,ポリカーボネート,1,1,製造品出荷額,-,-
2,163529,その他のプラスチック,1,1,製造品出荷額,1,x
2,163591,プラスチック（賃加工）,1,2,加工賃収入額,1,x
2,163611,合成ゴム（合成ラテックスを含む）,1,1,製造品出荷額,-,-
2,163911,ホルマリン,1,1,製造品出荷額,-,-
2,163912,クロロフルオロメタン、クロロフルオロエタン（フロン）,1,1,製造品出荷額,-,-
2,163919,その他のメタン誘導品,1,1,製造品出荷額,-,-
2,163921,クレオソート油,1,1,製造品出荷額,-,-
2,163922,ピッチ,1,1,製造品出荷額,-,-
2,163923,副生硫酸アンモニウム,1,1,製造品出荷額,-,-
2,163929,その他のコールタール製品,1,1,製造品出荷額,-,-
2,163931,フタル酸系可塑剤,1,1,製造品出荷額,1,x
2,163939,その他の可塑剤,1,1,製造品出荷額,-,-
2,163941,有機ゴム薬品,1,1,製造品出荷額,-,-
2,163942,くえん酸（発酵法以外のもの）,1,1,製造品出荷額,-,-
2,163949,他に分類されない有機化学工業製品,1,1,製造品出荷額,1,x
2,163991,その他の有機化学工業製品（賃加工）,1,2,加工賃収入額,1,x
2,164111,脂肪酸（直分、硬分）,1,1,製造品出荷額,-,-
2,164112,精製脂肪酸,1,1,製造品出荷額,-,-
2,164113,硬化油（工業用、食料用）,1,1,製造品出荷額,-,-
2,164114,精製グリセリン,1,1,製造品出荷額,-,-
2,164115,高級アルコール（還元、蒸留）,1,1,製造品出荷額,-,-
2,164119,その他の油脂加工製品,1,1,製造品出荷額,2,x
2,164191,脂肪酸・硬化油・グリセリン（賃加工）,1,2,加工賃収入額,-,-
2,164211,浴用石けん（薬用、液状を含む）,1,1,製造品出荷額,9,238735
2,164212,洗濯石けん（固型、粉末）,1,1,製造品出荷額,2,x
2,164219,その他の石けん,1,1,製造品出荷額,4,5631
2,164221,洗濯用合成洗剤,1,1,製造品出荷額,1,x
2,164222,台所用合成洗剤,1,1,製造品出荷額,3,29046
2,164223,その他の家庭用合成洗剤,1,1,製造品出荷額,4,22769
2,164224,液状身体洗浄剤（液状石けんを除く）,1,1,製造品出荷額,2,x
2,164225,工業用合成洗剤,1,1,製造品出荷額,6,46753
2,164291,石けん・合成洗剤（賃加工）,1,2,加工賃収入額,5,7318
2,164311,陰イオン界面活性剤,1,1,製造品出荷額,1,x
2,164312,陽イオン界面活性剤,1,1,製造品出荷額,-,-
2,164313,非イオン界面活性剤,1,1,製造品出荷額,2,710
2,164319,その他の界面活性剤,1,1,製造品出荷額,-,-
2,164391,界面活性剤（賃加工）,1,2,加工賃収入額,-,-
2,164411,油性塗料,1,1,製造品出荷額,1,x
2,164412,ラッカー,1,1,製造品出荷額,-,-
2,164413,電気絶縁塗料,1,1,製造品出荷額,2,x
2,164414,溶剤系合成樹脂塗料,1,1,製造品出荷額,12,1329967
2,164415,水系合成樹脂塗料,1,1,製造品出荷額,6,220117
2,164416,無溶剤系合成樹脂塗料,1,1,製造品出荷額,2,x
2,164417,シンナー,1,1,製造品出荷額,3,5443
2,164419,その他の塗料、同関連製品,1,1,製造品出荷額,6,418861
2,164491,塗料（賃加工）,1,2,加工賃収入額,4,4289
2,164511,一般インキ,1,1,製造品出荷額,8,748426
2,164512,新聞インキ,1,1,製造品出荷額,1,x
2,164513,印刷インキ用ワニス,1,1,製造品出荷額,1,x
2,164591,印刷インキ（賃加工）,1,2,加工賃収入額,2,x
2,164611,クレンザー,1,1,製造品出荷額,-,-
2,164612,ワックス,1,1,製造品出荷額,3,39025
2,164613,靴クリーム,1,1,製造品出荷額,3,18684
2,164619,その他の洗浄剤・磨用剤,1,1,製造品出荷額,6,131694
2,164691,洗浄剤・磨用剤（賃加工）,1,2,加工賃収入額,2,x
2,164711,ろうそく,1,1,製造品出荷額,3,35247
2,164791,ろうそく（賃加工）,1,2,加工賃収入額,-,-
2,165111,医薬品原末、原液,1,1,製造品出荷額,2,x
2,165211,医薬品製剤（医薬部外品製剤を含む）,1,1,製造品出荷額,31,4654719
2,165291,医薬品製剤（医薬部外品製剤を含む）（賃加工）,1,2,加工賃収入額,6,323092
2,165311,ワクチン、血清、保存血液,1,1,製造品出荷額,3,3410160
2,165411,生薬・漢方,1,1,製造品出荷額,3,8517
2,165491,生薬・漢方（賃加工）,1,2,加工賃収入額,-,-
2,165511,動物用医薬品,1,1,製造品出荷額,4,590430
2,165591,動物用医薬品（賃加工）,1,2,加工賃収入額,1,x
2,166111,香水、オーデコロン,1,1,製造品出荷額,2,x
2,166112,ファンデーション,1,1,製造品出荷額,11,2810435
2,166113,おしろい,1,1,製造品出荷額,6,234241
2,166114,口紅、ほお紅、アイシャドー,1,1,製造品出荷額,10,494643
2,166115,クリーム,1,1,製造品出荷額,16,714967
2,166116,化粧水,1,1,製造品出荷額,18,2011430
2,166117,乳液,1,1,製造品出荷額,12,1458504
2,166119,その他の仕上用・皮膚用化粧品,1,1,製造品出荷額,20,1692513
2,166191,仕上用・皮膚用化粧品（香水、オーデコロンを含む）（賃加工）,1,2,加工賃収入額,4,11402
2,166211,シャンプー、ヘアリンス,1,1,製造品出荷額,21,566051
2,166212,養毛料,1,1,製造品出荷額,5,610906
2,166213,整髪料,1,1,製造品出荷額,7,1218921
2,166219,その他の頭髪用化粧品,1,1,製造品出荷額,18,578883
2,166291,頭髪用化粧品（賃加工）,1,2,加工賃収入額,-,-
2,166919,その他の化粧品・調整品,1,1,製造品出荷額,10,180215
2,166921,歯磨,1,1,製造品出荷額,2,x
2,166991,その他の化粧品・歯磨・化粧用調整品（賃加工）,1,2,加工賃収入額,1,x
2,169111,産業用火薬・爆薬,1,1,製造品出荷額,-,-
2,169119,その他の火工品,1,1,製造品出荷額,-,-
2,169121,武器用火薬類,1,1,製造品出荷額,-,-
2,169211,殺虫剤,1,1,製造品出荷額,1,x
2,169221,殺菌剤,1,1,製造品出荷額,-,-
2,169229,その他の農薬,1,1,製造品出荷額,-,-
2,169291,農薬（賃加工）,1,2,加工賃収入額,-,-
2,169311,天然香料,1,1,製造品出荷額,-,-
2,169312,合成香料,1,1,製造品出荷額,2,x
2,169313,調合香料,1,1,製造品出荷額,5,937817
2,169391,香料（賃加工）,1,2,加工賃収入額,2,x
2,169411,ゼラチン、にかわ,1,1,製造品出荷額,3,735801
2,169412,セルロース系接着剤、プラスチック系接着剤,1,1,製造品出荷額,7,379235
2,169419,その他の接着剤,1,1,製造品出荷額,1,x
2,169491,ゼラチン・接着剤（賃加工）,1,2,加工賃収入額,1,x
2,169511,写真フィルム（乾板を含む）,1,1,製造品出荷額,-,-
2,169512,レンズ付写真フィルム,1,1,製造品出荷額,-,-
2,169513,写真用印画紙,1,1,製造品出荷額,-,-
2,169514,感光紙（青写真感光紙、複写感光紙）,1,1,製造品出荷額,-,-
2,169515,製版用感光材料,1,1,製造品出荷額,1,x
2,169516,写真用化学薬品（調整、包装されたもの）,1,1,製造品出荷額,1,x
2,169591,写真感光材料（賃加工）,1,2,加工賃収入額,-,-
2,169611,天然樹脂製品（天然染料を含む）,1,1,製造品出荷額,-,-
2,169612,木材化学製品,1,1,製造品出荷額,-,-
2,169691,天然樹脂製品・木材化学製品（賃加工）,1,2,加工賃収入額,1,x
2,169711,試薬（診断用試薬を除く）,1,1,製造品出荷額,8,295466
2,169791,試薬（診断用試薬を除く）（賃加工）,1,2,加工賃収入額,-,-
2,169911,デキストリン（可溶性でんぷんを含む）,1,1,製造品出荷額,-,-
2,169912,漂白剤,1,1,製造品出荷額,-,-
2,169919,その他の化学工業製品,1,1,製造品出荷額,31,3875341
2,169991,他に分類されない化学工業製品（賃加工）,1,2,加工賃収入額,5,41459
2,666600,製造工程からでたくず・廃物,1,3,くず・廃物出荷額,1,x
1,170000,石油製品・石炭製品製造業,0,0,総数,23,2950366
1,170000,石油製品・石炭製品製造業,1,1,製造品出荷額,21,x
1,170000,石油製品・石炭製品製造業,1,2,加工賃収入額,2,x
1,170000,石油製品・石炭製品製造業,1,3,くず・廃物出荷額,-,-
2,171111,ガソリン,1,1,製造品出荷額,-,-
2,171112,ナフサ,1,1,製造品出荷額,-,-
2,171113,ジェット燃料油,1,1,製造品出荷額,-,-
2,171114,灯油,1,1,製造品出荷額,-,-
2,171115,軽油,1,1,製造品出荷額,-,-
2,171116,Ａ重油,1,1,製造品出荷額,-,-
2,171117,Ｂ重油、Ｃ重油,1,1,製造品出荷額,-,-
2,171118,潤滑油（グリースを含む）,1,1,製造品出荷額,-,-
2,171121,パラフィン,1,1,製造品出荷額,-,-
2,171122,アスファルト,1,1,製造品出荷額,-,-
2,171123,液化石油ガス,1,1,製造品出荷額,-,-
2,171124,精製・混合用原料油,1,1,製造品出荷額,-,-
2,171125,石油ガス,1,1,製造品出荷額,-,-
2,171191,石油精製（賃加工）,1,2,加工賃収入額,-,-
2,172111,潤滑油（購入した鉱・動・植物油によるもの）,1,1,製造品出荷額,5,453163
2,172112,グリース（購入した鉱・動・植物油によるもの）,1,1,製造品出荷額,1,x
2,172191,潤滑油・グリース（賃加工）,1,2,加工賃収入額,2,x
2,173111,コークス,1,1,製造品出荷額,-,-
2,173112,燃料ガス（高炉ガス、コークス炉ガスを含む）,1,1,製造品出荷額,-,-
2,173113,粗製コールタール,1,1,製造品出荷額,-,-
2,173114,ピッチコークス,1,1,製造品出荷額,-,-
2,173191,コークス（賃加工）,1,2,加工賃収入額,-,-
2,174111,アスファルト舗装混合材、タール舗装混合材（アスファルトブロック、タールブロックを含む）,1,1,製造品出荷額,14,2224997
2,174191,舗装材料（賃加工）,1,2,加工賃収入額,-,-
2,179911,回収いおう,1,1,製造品出荷額,-,-
2,179921,練炭、豆炭,1,1,製造品出荷額,-,-
2,179929,他に分類されない石油製品・石炭製品,1,1,製造品出荷額,1,x
2,179991,その他の石油製品・石炭製品（賃加工）,1,2,加工賃収入額,-,-
2,676600,製造工程からでたくず・廃物,1,3,くず・廃物出荷額,-,-
1,180000,プラスチック製品製造業（別掲を除く）,0,0,総数,960,11408350
1,180000,プラスチック製品製造業（別掲を除く）,1,1,製造品出荷額,685,9796408
1,180000,プラスチック製品製造業（別掲を除く）,1,2,加工賃収入額,271,1610811
1,180000,プラスチック製品製造業（別掲を除く）,1,3,くず・廃物出荷額,4,1131
2,181111,プラスチック平板（厚さ０．５ｍｍ以上で硬質のもの）,1,1,製造品出荷額,3,79594
2,181112,プラスチック波板（厚さ０．５ｍｍ以上で硬質のもの）,1,1,製造品出荷額,-,-
2,181113,プラスチック積層品,1,1,製造品出荷額,-,-
2,181114,プラスチック化粧板,1,1,製造品出荷額,-,-
2,181115,プラスチック棒,1,1,製造品出荷額,5,50614
2,181191,プラスチック板・棒（賃加工）,1,2,加工賃収入額,9,44235
2,181211,プラスチック硬質管,1,1,製造品出荷額,4,29463
2,181212,プラスチックホース,1,1,製造品出荷額,2,x
2,181291,プラスチック管（賃加工）,1,2,加工賃収入額,2,x
2,181311,プラスチック継手（バルブ、コックを含む）,1,1,製造品出荷額,1,x
2,181391,プラスチック継手（賃加工）,1,2,加工賃収入額,1,x
2,181411,プラスチック雨どい・同附属品,1,1,製造品出荷額,1,x
2,181419,その他のプラスチック異形押出製品,1,1,製造品出荷額,20,441016
2,181491,プラスチック異形押出製品（賃加工）,1,2,加工賃収入額,4,12927
2,181511,プラスチック板・棒・管・継手・異形押出製品の加工品（切断、接合、塗装、蒸着めっき、バフ加工等）,1,1,製造品出荷額,56,645820
2,181591,プラスチック板・棒・管・継手・異形押出製品の加工品（賃加工）,1,2,加工賃収入額,27,96527
2,182111,包装用軟質プラスチックフィルム（厚さ０．２ｍｍ未満で軟質のもの）,1,1,製造品出荷額,9,142115
2,182112,その他の軟質プラスチックフィルム（厚さ０．２ｍｍ未満で軟質のもの）,1,1,製造品出荷額,2,x
2,182113,硬質プラスチックフィルム（厚さ０．５ｍｍ未満で硬質のもの）,1,1,製造品出荷額,2,x
2,182191,プラスチックフィルム（賃加工）,1,2,加工賃収入額,12,74271
2,182211,プラスチックシート（厚さ０．２ｍｍ以上で軟質のもの）,1,1,製造品出荷額,8,44862
2,182291,プラスチックシート（賃加工）,1,2,加工賃収入額,8,43071
2,182311,プラスチックタイル,1,1,製造品出荷額,1,x
2,182319,その他のプラスチック床材,1,1,製造品出荷額,-,-
2,182391,プラスチック床材（賃加工）,1,2,加工賃収入額,-,-
2,182411,合成皮革,1,1,製造品出荷額,2,x
2,182491,合成皮革（賃加工）,1,2,加工賃収入額,1,x
2,182511,プラスチックフィルム・シート・床材・合成皮革加工品（切断、接合、塗装、蒸着めっき、バフ加工等）,1,1,製造品出荷額,35,502572
2,182591,プラスチックフィルム・シート・床材・合成皮革加工品（賃加工）,1,2,加工賃収入額,34,190500
2,183111,電気機械器具用プラスチック製品,1,1,製造品出荷額,55,711408
2,183191,電気機械器具用プラスチック製品(賃加工）,1,2,加工賃収入額,7,23075
2,183211,自動車用プラスチック製品,1,1,製造品出荷額,44,411529
2,183212,輸送機械用プラスチック製品（自動車用を除く）,1,1,製造品出荷額,11,50458
2,183291,輸送機械用プラスチック製品（賃加工）,1,2,加工賃収入額,5,18721
2,183319,その他の工業用プラスチック製品,1,1,製造品出荷額,106,1316794
2,183391,その他の工業用プラスチック製品（賃加工）,1,2,加工賃収入額,32,181894
2,183411,工業用プラスチック製品の加工品（切断、接合、塗装、蒸着めっき、バフ加工等）,1,1,製造品出荷額,60,1001406
2,183491,工業用プラスチック製品の加工品（賃加工）,1,2,加工賃収入額,35,442008
2,184111,軟質プラスチック発泡製品（半硬質性を含む）,1,1,製造品出荷額,20,174640
2,184191,軟質プラスチック発泡製品（半硬質性を含む）（賃加工）,1,2,加工賃収入額,9,30742
2,184211,硬質プラスチック発泡製品（厚板）（厚さ３ｍｍ以上）,1,1,製造品出荷額,2,x
2,184212,硬質プラスチック発泡製品（薄板）（厚さ３ｍｍ未満のもの）,1,1,製造品出荷額,2,x
2,184219,その他の硬質プラスチック発泡製品,1,1,製造品出荷額,3,129934
2,184291,硬質プラスチック発泡製品（賃加工）,1,2,加工賃収入額,1,x
2,184311,強化プラスチック製板・棒・管・継手,1,1,製造品出荷額,2,x
2,184391,強化プラスチック製板・棒・管・継手（賃加工）,1,2,加工賃収入額,2,x
2,184411,強化プラスチック製容器・浴槽・浄化槽,1,1,製造品出荷額,3,9349
2,184412,工業用強化プラスチック製品,1,1,製造品出荷額,5,213885
2,184419,その他の強化プラスチック製品,1,1,製造品出荷額,-,-
2,184491,強化プラスチック製容器・浴槽等（賃加工）,1,2,加工賃収入額,1,x
2,184511,発泡・強化プラスチック製品の加工品（切断、接合、塗装、蒸着めっき、バフ加工等）,1,1,製造品出荷額,5,47995
2,184591,発泡・強化プラスチック製品の加工品（賃加工）,1,2,加工賃収入額,2,x
2,185111,プラスチック成形材料,1,1,製造品出荷額,14,352862
2,185112,再生プラスチック成形材料,1,1,製造品出荷額,5,78535
2,185191,プラスチック成形材料（賃加工）,1,2,加工賃収入額,8,18131
2,185211,廃プラスチック製品,1,1,製造品出荷額,-,-
2,185291,廃プラスチック製品（賃加工）,1,2,加工賃収入額,-,-
2,189111,日用雑貨・台所用品・食卓用品・浴室用品,1,1,製造品出荷額,27,391313
2,189191,プラスチック製日用雑貨・食卓用品等（賃加工）,1,2,加工賃収入額,10,75708
2,189211,プラスチック製中空成形容器,1,1,製造品出荷額,23,470766
2,189212,飲料用プラスチックボトル,1,1,製造品出荷額,-,-
2,189219,その他のプラスチック製容器,1,1,製造品出荷額,28,562778
2,189291,プラスチック製容器（賃加工）,1,2,加工賃収入額,7,39499
2,189711,医療・衛生用プラスチック製品,1,1,製造品出荷額,22,297762
2,189719,その他のプラスチック製品,1,1,製造品出荷額,43,622083
2,189791,他に分類されないプラスチック製品（賃加工）,1,2,加工賃収入額,20,84635
2,189819,他に分類されないプラスチック製品の加工品（切断、接合、塗装、蒸着めっき、バフ加工等）,1,1,製造品出荷額,54,736917
2,189891,他に分類されないプラスチック製品の加工品（賃加工）,1,2,加工賃収入額,34,187714
2,686600,製造工程からでたくず・廃物,1,3,くず・廃物出荷額,4,1131
1,190000,ゴム製品製造業,0,0,総数,401,3371454
1,190000,ゴム製品製造業,1,1,製造品出荷額,329,3165908
1,190000,ゴム製品製造業,1,2,加工賃収入額,69,203867
1,190000,ゴム製品製造業,1,3,くず・廃物出荷額,3,1679
2,191111,トラック・バス用タイヤ,1,1,製造品出荷額,1,x
2,191112,小型トラック用タイヤ,1,1,製造品出荷額,1,x
2,191113,乗用車用タイヤ,1,1,製造品出荷額,1,x
2,191114,二輪自動車用タイヤ,1,1,製造品出荷額,1,x
2,191115,特殊車両用・航空機用タイヤ,1,1,製造品出荷額,1,x
2,191116,自動車用・特殊車両用・航空機用チューブ,1,1,製造品出荷額,-,-
2,191191,自動車用タイヤ・チューブ（賃加工）,1,2,加工賃収入額,-,-
2,191919,その他のタイヤ・チューブ,1,1,製造品出荷額,1,x
2,191991,その他のタイヤ・チューブ（賃加工）,1,2,加工賃収入額,-,-
2,192111,地下足袋,1,1,製造品出荷額,-,-
2,192112,ゴム底布靴,1,1,製造品出荷額,3,2788
2,192113,総ゴム靴,1,1,製造品出荷額,1,x
2,192114,ゴム草履・スリッパ（スポンジ製のものを含む）,1,1,製造品出荷額,-,-
2,192115,ゴム製履物用品,1,1,製造品出荷額,7,75393
2,192191,ゴム製履物・同附属品（賃加工）,1,2,加工賃収入額,3,3597
2,192211,プラスチック製靴,1,1,製造品出荷額,2,x
2,192212,プラスチック製サンダル,1,1,製造品出荷額,1,x
2,192213,プラスチック製スリッパ,1,1,製造品出荷額,-,-
2,192219,その他のプラスチック製履物、同附属品,1,1,製造品出荷額,2,x
2,192291,プラスチック製履物・同附属品（賃加工）,1,2,加工賃収入額,1,x
2,193111,コンベヤゴムベルト,1,1,製造品出荷額,-,-
2,193112,平ゴムベルト,1,1,製造品出荷額,-,-
2,193113,Ｖベルト（ファンベルトを含む）,1,1,製造品出荷額,-,-
2,193119,その他のゴムベルト,1,1,製造品出荷額,3,6649
2,193191,ゴムベルト（賃加工）,1,2,加工賃収入額,3,6445
2,193211,ゴムホース,1,1,製造品出荷額,1,x
2,193291,ゴムホース（賃加工）,1,2,加工賃収入額,3,55211
2,193311,防振ゴム,1,1,製造品出荷額,20,78728
2,193312,ゴムロール,1,1,製造品出荷額,19,352701
2,193313,ゴム製パッキン類,1,1,製造品出荷額,91,792963
2,193314,ゴム管,1,1,製造品出荷額,5,26056
2,193315,ゴムライニング,1,1,製造品出荷額,13,67683
2,193316,工業用ゴム板,1,1,製造品出荷額,13,118326
2,193317,防げん材,1,1,製造品出荷額,-,-
2,193318,工業用スポンジ製品,1,1,製造品出荷額,23,109882
2,193319,その他の工業用ゴム製品,1,1,製造品出荷額,75,748977
2,193391,工業用ゴム製品（賃加工）,1,2,加工賃収入額,51,115575
2,199111,ゴム引布,1,1,製造品出荷額,1,x
2,199121,ゴム引布製品,1,1,製造品出荷額,2,x
2,199191,ゴム引布・同製品（賃加工）,1,2,加工賃収入額,3,16592
2,199211,医療・衛生用ゴム製品,1,1,製造品出荷額,7,46461
2,199291,医療・衛生用ゴム製品（賃加工）,1,2,加工賃収入額,-,-
2,199311,更生タイヤ用練生地,1,1,製造品出荷額,-,-
2,199319,その他の練生地,1,1,製造品出荷額,7,60436
2,199391,ゴム練生地（賃加工）,1,2,加工賃収入額,2,x
2,199411,更生タイヤ,1,1,製造品出荷額,1,x
2,199491,更生タイヤ（賃加工）,1,2,加工賃収入額,-,-
2,199511,再生ゴム,1,1,製造品出荷額,1,x
2,199591,再生ゴム（賃加工）,1,2,加工賃収入額,-,-
2,199911,ゴム手袋,1,1,製造品出荷額,1,x
2,199919,その他のゴム製品,1,1,製造品出荷額,24,264298
2,199991,他に分類されないゴム製品（賃加工）,1,2,加工賃収入額,3,6028
2,696600,製造工程からでたくず・廃物,1,3,くず・廃物出荷額,3,1679
1,200000,なめし革・同製品・毛皮製造業,0,0,総数,335,6874788
1,200000,なめし革・同製品・毛皮製造業,1,1,製造品出荷額,261,6595322
